date,NoDur,Durbl,Manuf,Enrgy,Chems,BusEq,Telcm,Utils,Shops,Hlth,Money,Other
193012,-0.1158,-0.1051,-0.1503,-0.1956,-0.1277,-0.12890000000000001,-0.025099999999999997,-0.046200000000000005,-0.1613,-0.1103,-0.157,-0.1369
193101,0.1501,0.1444,0.1234,0.1855,0.1211,0.15480000000000002,0.0442,0.0576,0.0998,0.08,0.2076,0.1811
193102,0.1344,0.22960000000000003,0.15789999999999998,0.1441,0.17329999999999998,0.2402,0.0601,0.1553,0.1706,0.162,0.1888,0.0944
193103,-0.004,-0.051,-0.0722,-0.128,-0.12560000000000002,-0.11699999999999999,-0.0101,-0.0381,-0.014499999999999999,0.0062,-0.102,-0.08710000000000001
193104,-0.1375,-0.1905,-0.1801,-0.1812,-0.14470000000000002,-0.1522,-0.07490000000000001,-0.09970000000000001,-0.1036,-0.1143,-0.16280000000000003,-0.1366
193105,-0.0971,-0.1815,-0.16899999999999998,-0.16440000000000002,-0.1305,-0.11800000000000001,-0.08230000000000001,-0.11699999999999999,-0.0919,-0.1595,-0.1811,-0.1495
193106,0.1528,0.19280000000000003,0.21789999999999998,0.2109,0.1923,0.16519999999999999,0.1069,0.1014,0.07110000000000001,0.12300000000000001,0.23620000000000002,0.21739999999999998
193107,-0.0223,-0.06730000000000001,-0.10189999999999999,-0.064,-0.0647,-0.0998,-0.0095,-0.0268,-0.0369,-0.0329,-0.09910000000000001,-0.08710000000000001
193108,-0.0233,-0.034300000000000004,-0.0342,0.0884,-0.0101,-0.0258,-0.002,0.0161,0.0001,-0.0111,-0.0236,-0.060300000000000006
193109,-0.27090000000000003,-0.3483,-0.32670000000000005,-0.34240000000000004,-0.3273,-0.3815,-0.1747,-0.30829999999999996,-0.29850000000000004,-0.32020000000000004,-0.3763,-0.2693
193110,0.0956,0.149,0.11380000000000001,0.1351,0.1974,0.1409,0.0101,0.0802,0.0893,0.1323,0.1331,0.0358
193111,-0.0751,-0.010900000000000002,-0.0849,-0.0816,-0.1169,-0.10160000000000001,-0.13820000000000002,-0.0454,-0.0892,-0.0907,-0.1173,-0.1417
193112,-0.13210000000000002,-0.1749,-0.19890000000000002,-0.2225,-0.1201,-0.19460000000000002,-0.1358,-0.1275,-0.2162,-0.11570000000000001,-0.1915,-0.2242
193201,0.0643,0.0861,0.07769999999999999,0.087,0.0291,0.0714,-0.0122,-0.021800000000000003,0.0936,0.0097,0.058300000000000005,0.195
193202,0.034300000000000004,0.0221,0.013200000000000002,0.044000000000000004,0.0125,0.0375,0.053099999999999994,0.0563,0.0159,-0.0172,0.0827,-0.0115
193203,-0.0756,-0.16519999999999999,-0.1286,-0.0417,-0.1276,-0.1593,-0.0447,-0.1451,-0.155,-0.0906,-0.1594,-0.1482
193204,-0.1703,-0.2458,-0.20199999999999999,-0.1392,-0.1917,-0.23010000000000003,-0.2043,-0.16219999999999998,-0.1126,-0.1365,-0.207,-0.18030000000000002
